image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence
cluster_093_AccoID_1168722_20251105_095136.png,93,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:51:36,-307.0,1.0,0.0,29.0,Mineral cooldrinks,SPRITE ZERO,can,Male,0.943,41–55,0.587
cluster_093_AccoID_1168722_20251105_095136.png,93,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:51:36,-307.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Male,0.943,41–55,0.587
cluster_093_AccoID_1168722_20251105_095136.png,93,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:51:36,-307.0,2.0,0.0,129.0,Breakfast,BREAKFAST,burger,Male,0.943,41–55,0.587
cluster_094_AccoID_1168722_20251105_095037.png,94,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:50:37,-307.0,1.0,0.0,29.0,Mineral cooldrinks,SPRITE ZERO,can,Male,0.962,41–55,0.636
cluster_094_AccoID_1168722_20251105_095037.png,94,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:50:37,-307.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Male,0.962,41–55,0.636
cluster_094_AccoID_1168722_20251105_095037.png,94,1168722,224558/40,2025-11-05 09:52:00,2025-11-05 09:50:37,-307.0,2.0,0.0,129.0,Breakfast,BREAKFAST,burger,Male,0.962,41–55,0.636
cluster_095_AccoID_1168888_20251105_104345.png,95,1168888,224585/70,2025-11-05 10:45:00,2025-11-05 10:43:45,-72.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Male,0.946,41–55,0.558
cluster_096_AccoID_1168715_20251105_095016.png,96,1168715,224557/38,2025-11-05 09:51:00,2025-11-05 09:50:16,-150.0,1.0,0.0,12.0,Extra,EXTRA,relish breakfast,Male,0.977,41–55,0.614
cluster_096_AccoID_1168715_20251105_095016.png,96,1168715,224557/38,2025-11-05 09:51:00,2025-11-05 09:50:16,-150.0,2.0,0.0,39.0,Breakfast,BREAKFAST,scrambled on toast,Male,0.977,41–55,0.614
cluster_096_AccoID_1168715_20251105_095016.png,96,1168715,224557/38,2025-11-05 09:51:00,2025-11-05 09:50:16,-150.0,2.0,0.0,30.0,Beverages Coffee,SKINNY CAPPUCINO,none,Male,0.977,41–55,0.614
