image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
cluster_190_AccoID_1169521_20251105_135341.png,190,1169521,224686/169,2025-11-05 13:55:00,2025-11-05 13:53:41,-249.0,2.0,0.0,59.0,Cakes,CARROT CAKE,carrot cake,Female,0.995,31–40,0.418,169.0,,,,False
cluster_190_AccoID_1169521_20251105_135341.png,190,1169521,224686/169,2025-11-05 13:55:00,2025-11-05 13:53:41,-249.0,1.0,0.0,23.0,Beverages Coffee,COFFEE,espresso,Female,0.995,31–40,0.418,169.0,,,,False
cluster_190_AccoID_1169521_20251105_135341.png,190,1169521,224686/169,2025-11-05 13:55:00,2025-11-05 13:53:41,-249.0,1.0,0.0,7.0,Beverages Coffee,COFFEE,extra shot,Female,0.995,31–40,0.418,169.0,,,,False
cluster_190_AccoID_1169521_20251105_135341.png,190,1169521,224686/169,2025-11-05 13:55:00,2025-11-05 13:53:41,-249.0,2.0,0.0,26.0,Beverages Coffee,SKINNY CAPPUCINO,none,Female,0.995,31–40,0.418,169.0,,,,False
cluster_191_AccoID_1168854_20251105_103845.png,191,1168854,224579/64,2025-11-05 10:39:00,2025-11-05 10:38:45,-20.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.985,56–65,0.561,64.0,,,,False
cluster_192_AccoID_1168854_20251105_103749.png,192,1168854,224579/64,2025-11-05 10:39:00,2025-11-05 10:37:49,-20.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.986,56–65,0.406,64.0,,,,False
cluster_193_AccoID_1169141_20251105_115503.png,193,1169141,224625/108,2025-11-05 11:56:00,2025-11-05 11:55:03,-429.0,2.0,0.0,109.0,Light lunches,QUICHES,spinach & feta,Female,0.957,66–80,0.488,108.0,Female,66-80,11:57:00,True
cluster_193_AccoID_1169141_20251105_115503.png,193,1169141,224625/108,2025-11-05 11:56:00,2025-11-05 11:55:03,-429.0,1.0,0.0,119.0,Light lunches,QUICHES,bacon and mushroom,Female,0.957,66–80,0.488,108.0,Female,66-80,11:57:00,True
cluster_193_AccoID_1169141_20251105_115503.png,193,1169141,224625/108,2025-11-05 11:56:00,2025-11-05 11:55:03,-429.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.957,66–80,0.488,108.0,Female,66-80,11:57:00,True
cluster_193_AccoID_1169141_20251105_115503.png,193,1169141,224625/108,2025-11-05 11:56:00,2025-11-05 11:55:03,-429.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.957,66–80,0.488,108.0,Female,66-80,11:57:00,True
cluster_194_AccoID_1169630_20251105_145414.png,194,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:54:14,-49.0,1.0,0.0,29.0,Mineral cooldrinks,ICE TEA,peach,Female,0.985,56–65,0.662,184.0,,,,False
cluster_194_AccoID_1169630_20251105_145414.png,194,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:54:14,-49.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.985,56–65,0.662,184.0,,,,False
